State,12th_grade_no_diploma,regular_high_school_diploma,GED_or_alternative_credential,college_less_than_1_year,college_more_than_1_year_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree
AL,59355,826272,179023,194456,516724,251335,478812,201997,48509,32332
AK,5271,105527,23797,34853,96130,37719,83201,33447,8271,5002
GA,112415,1529871,316053,368871,997764,465465,1178186,490540,126049,78709
HI,12959,245959,22377,53615,158198,98882,196010,66155,21744,12805
ID,16023,230642,52594,88380,189320,94717,182235,58882,14819,10653
IL,152301,1999566,308743,568788,1247989,658904,1711787,778362,183531,104191
IN,69602,1272879,221423,287868,613358,355635,664747,275285,57184,43040
IA,24910,577079,83169,152251,288559,227328,372434,120585,30992,22403
KS,24769,425864,79719,152124,300148,148723,374220,150913,33202,21879
KY,41275,788112,205741,196807,416493,221409,386554,196117,48471,27802
LA,51615,870720,160436,162361,487820,168460,451042,158826,47541,27903
ME,9681,266649,49907,58788,131072,90595,178375,69366,16387,12033
AZ,87410,887064,176701,327305,791410,370569,753425,321027,73284,51274
MD,61358,905176,121424,241763,543444,256254,826439,478941,116644,100946
MA,67774,1035769,133606,226674,519120,357133,1049150,572191,130296,115466
MI,105403,1722171,266211,509616,1074120,595198,1094936,512955,110322,73679
MN,45757,833028,113658,244705,551341,390242,818315,284110,75497,47323
MS,38138,469777,117809,111602,330876,166725,251230,106977,25040,17753
MO,59839,1079150,187770,296175,620842,299637,685454,300193,67389,45873
MT,7871,175079,32947,47325,123854,57894,138099,44936,11867,8546
NE,14682,292881,41568,94768,196110,120763,238158,82229,20794,14655
NV,48654,457309,74806,139971,349916,147840,285510,102243,29472,16273
NH,10998,228481,37962,56463,119753,88681,202048,90834,16109,13755
AR,32610,564438,120839,132866,307874,123526,267741,103397,24613,18348
NJ,103717,1586195,155367,307724,721851,385049,1387201,615746,148177,90732
NM,22091,298130,63194,81343,241305,107215,202298,110788,21734,25255
NY,298185,3080068,508826,617658,1558651,1144351,2604077,1433296,365654,193097
NC,89452,1469226,286769,422645,1013232,589399,1213587,467519,101314,84345
ND,4845,110867,17381,30699,78892,61952,93946,23929,6309,5350
OH,127167,2369349,299967,538108,1077297,643162,1278763,554000,124512,82753
OK,39915,670376,125765,182739,416947,182135,405388,143223,33669,23949
OR,46217,535540,123579,229887,484720,228892,522634,218853,54779,38791
PA,132515,2855340,352649,481038,954650,698397,1535222,702244,165557,119014
PR,29536,587669,66090,39411,262866,224326,420722,110715,29771,22364
CA,651910,4661300,570524,1461272,4055615,1970322,5002596,1965005,583790,387793
RI,10746,165067,31921,38763,94266,61060,137505,65026,15246,12040
SC,57919,813461,142197,193786,480422,287271,530349,221384,45090,32717
SD,6127,148025,24497,34013,86754,59036,104728,30862,7085,6126
TN,72490,1176200,269266,276502,642171,287483,696512,274650,69535,51579
TX,287529,3456053,764264,1051761,2722897,1119055,3054382,1134567,256346,177921
UT,29713,340490,47636,133805,324122,160275,347460,122889,27671,23017
VT,4858,115563,15707,22854,53149,36581,94705,44184,10322,7807
VA,78988,1162016,219735,333851,776010,403610,1167357,624786,135221,94853
WA,78683,910601,187238,360875,798588,460415,986653,401488,96813,67176
WV,15950,442151,86404,75559,164419,85558,152377,69161,16676,10459
CO,50538,631548,135777,222572,568250,292801,847977,360853,76126,57051
WI,62985,1101435,138088,261162,556828,390482,713858,261565,60886,41387
WY,5308,93161,19711,32392,71087,39555,65787,23501,4932,4580
CT,35908,594793,79180,130995,299134,183289,516001,297270,71852,40484
DC,6077,69678,12019,15459,46574,14040,105880,85795,37856,18221
DE,9789,174291,21945,38943,85600,47604,112141,55594,11160,10467
FL,303656,3491793,582459,888826,1969869,1296844,2418555,932223,274741,154629
